userId,movieId,timestamp
429,150,828124615
429,161,828124615
429,351,828124615
429,595,828124615
429,421,828124615
429,225,828124615
429,218,828124615
429,222,828124615
429,22,828124615
429,434,828124615
429,165,828124615
429,592,828124615
429,588,828124615
429,590,828124615
429,256,828124616
429,261,828124616
429,236,828124616
429,252,828124616
429,381,828124616
429,48,828124616
429,195,828124616
429,151,828124616
429,317,828124616
429,204,828124616
429,339,828124616
429,266,828124616
429,281,828124616
429,257,828124616
429,380,828124616
429,237,828124616
429,270,828124616
429,292,828124616
429,168,828124616
429,186,828124616
429,60,828124616
429,207,828124616
429,282,828124616
429,185,828124616
429,274,828124616
429,289,828124616
429,300,828124616
429,315,828124616
107,140,829322340
107,62,829322340
107,105,829322340
107,2,829322340
107,1,829322340
107,11,829322340
107,5,829322340
107,141,829322340
191,94,829759809
191,99,829759809
191,16,829759809
191,581,829759809
191,17,829759809
191,1,829759809
191,111,829759809
191,6,829759809
191,52,829759809
191,36,829759809
191,58,829759809
191,85,829759809
191,32,829759809
191,25,829759809
191,668,829759809
191,21,829759809
191,720,829759809
191,608,829759809
191,223,829760897
191,348,829760897
191,417,829760897
191,175,829760897
191,224,829760897
191,229,829760897
191,215,829760897
191,347,829760897
191,162,829760897
191,213,829760897
191,72,829760897
191,246,829760897
191,34,829760897
191,230,829760897
191,235,829760897
191,155,829760897
191,144,829760897
191,148,829760897
191,300,829760898
191,293,829760898
191,673,829760898
191,318,829760898
191,151,829760898
191,337,829760898
191,272,829760898
191,281,829760898
191,47,829760898
191,261,829760898
191,299,829760898
191,296,829760898
191,194,829760898
191,265,829760898
191,314,829760898
191,306,829760898
191,319,829760898
191,307,829760898
191,50,829760898
191,283,829760898
191,496,829760898
191,308,829760898
99,10,829827514
99,592,829828005
99,165,829828005
99,153,829828005
99,349,829828005
99,23,829828005
99,22,829828005
99,225,829828005
99,344,829828005
99,122,829828005
99,231,829828005
99,588,829828005
99,163,829828005
99,150,829828005
99,416,829828005
99,145,829828005
99,168,829828006
99,276,829828006
99,252,829828006
99,257,829828006
99,253,829828006
99,296,829828006
99,266,829828006
99,318,829828006
99,292,829828006
99,256,829828006
99,236,829828006
99,293,829828006
99,281,829828006
99,282,829828006
99,337,829828007
99,339,829828007
99,333,829828007
99,555,829828007
99,380,829828007
54,318,830247358
35,592,830939391
35,150,830939391
35,339,830939488
35,300,830939505
35,21,830939505
35,185,830939521
35,11,830939577
35,50,830939598
35,236,830939695
35,235,830939733
35,261,830939733
35,62,830939748
35,222,830939893
35,60,830939912
35,342,830939941
35,590,830940157
35,252,830940246
468,590,831400405
468,150,831400406
468,380,831400406
468,1,831400444
468,595,831400444
468,253,831400480
468,292,831400480
468,300,831400480
468,225,831400499
468,32,831400500
468,110,831400500
468,39,831400519
468,266,831400519
468,47,831400545
353,590,831939568
353,296,831939568
353,592,831939568
353,349,831939590
353,318,831939590
353,344,831939590
353,165,831939669
353,595,831939669
353,231,831939685
353,1,831939685
353,161,831939685
353,185,831939699
353,292,831939699
353,47,831939731
353,34,831939731
353,32,831939731
353,19,831939775
353,11,831939792
353,186,831939806
